feature,importance
F3912,243
F1813,71
F3348,69
F2230,63
F1165,49
F3799,48
F3598,32
F3534,30
F364,29
F162,27
F1166,26
F1814,23
F2686,22
F3801,19
F3898,19
F1489,18
F3894,18
F2032,17
F161,16
F3642,16
F3800,15
F3604,14
F3351,14
F469,14
F1921,14
F1249,14
F1922,13
F160,13
F3804,12
F1710,12
F2186,12
F2585,11
F3490,11
F528,11
F2,11
F2537,10
F935,10
F3812,10
F2957,9
F1281,9
F2584,9
F2583,9
F3643,8
F463,8
F2543,8
F1321,8
F3395,8
F2783,8
F2684,8
F142,7
F950,7
F3750,7
F3055,7
F3710,6
F3806,6
F3495,6
F3895,6
F2029,6
F2140,6
F568,6
F1583,5
F3240,5
F3494,5
F3843,5
F534,5
F3914,5
F2388,5
F2068,5
F2077,5
F1706,5
F1705,5
F1381,5
F3842,5
F120,5
F2698,5
F2665,4
F2480,4
F2078,4
F3496,4
F59,4
F3798,4
F3487,4
F1923,4
F1819,4
F2350,4
F1816,3
F1057,3
F268,3
F949,3
F3500,3
F2777,3
F3526,3
F2581,3
F1961,3
F2182,3
F2038,3
F1925,3
F1597,3
F2735,3
F3810,3
F2979,3
F3706,3
F3805,3
F3829,3
F2716,2
F1045,2
F451,2
F937,2
F1716,2
F1389,2
F1644,2
F1323,2
F997,2
F2139,2
F1969,2
F1861,2
F1927,2
F1928,2
F1820,2
F1818,2
F1429,2
F2137,2
F2527,2
F2891,2
F3057,2
F2999,2
F98,2
F2982,2
F2677,2
F2737,2
F3841,2
F2938,2
F2780,2
F2663,2
F1863,2
F2176,2
F2639,2
F3484,2
F3056,2
F3808,2
F3703,2
F3865,2
F3873,2
F3862,2
F3844,2
F3745,1
F3743,1
F3888,1
F3831,1
F3811,1
F3832,1
F3748,1
F3787,1
F3867,1
F3864,1
F3535,1
F3536,1
F3602,1
F3585,1
F3592,1
F3582,1
F3492,1
F3501,1
F3735,1
F3753,1
F3672,1
F3675,1
F3634,1
F3635,1
F126,1
F101,1
F2823,1
F2830,1
F2889,1
F2892,1
F2883,1
F2849,1
F85,1
F3058,1
F2960,1
F3493,1
F100,1
F97,1
F3398,1
F3079,1
F3624,1
F3485,1
F144,1
F139,1
F2654,1
F2645,1
F2582,1
F2642,1
F2183,1
F2134,1
F2599,1
F2532,1
F2344,1
F2538,1
F159,1
F2185,1
F1825,1
F1919,1
F1960,1
F1933,1
F2146,1
F152,1
F2030,1
F1967,1
F1748,1
F1752,1
F1758,1
F1275,1
F1274,1
F1491,1
F1573,1
F1497,1
F1043,1
F1100,1
F205,1
F530,1
F955,1
F573,1
F536,1
F522,1
F267,1
F409,1
F421,1
F408,1
F466,1
F4,1
F5,1
F3907,1
F3892,0
F3908,0
F3922,0
F3921,0
F3920,0
F3919,0
F3918,0
F3917,0
F3916,0
F3915,0
F3913,0
F3876,0
F3877,0
F3878,0
F3879,0
F3880,0
F3881,0
F3882,0
F3883,0
F3884,0
F3885,0
F3886,0
F3887,0
F3889,0
F3890,0
F3891,0
F3860,0
F283,0
F284,0
F253,0
F254,0
F255,0
F256,0
F257,0
F258,0
F259,0
F260,0
F261,0
F262,0
F263,0
F264,0
F265,0
F266,0
F301,0
F302,0
F269,0
F270,0
F271,0
F272,0
F273,0
F274,0
F275,0
F276,0
F277,0
F278,0
F279,0
F280,0
F281,0
F282,0
F317,0
F318,0
F285,0
F286,0
F287,0
F288,0
F289,0
F291,0
F292,0
F294,0
F295,0
F296,0
F297,0
F298,0
F299,0
F300,0
F333,0
F334,0
F303,0
F304,0
F305,0
F306,0
F307,0
F308,0
F309,0
F310,0
F311,0
F312,0
F313,0
F314,0
F315,0
F316,0
F349,0
F350,0
F319,0
F320,0
F321,0
F322,0
F323,0
F324,0
F325,0
F326,0
F327,0
F328,0
F329,0
F330,0
F331,0
F332,0
F365,0
F366,0
F335,0
F336,0
F337,0
F338,0
F339,0
F340,0
F341,0
F342,0
F343,0
F344,0
F345,0
F346,0
F347,0
F348,0
F380,0
F381,0
F382,0
F351,0
F352,0
F353,0
F354,0
F355,0
F356,0
F357,0
F358,0
F359,0
F360,0
F361,0
F362,0
F363,0
F398,0
F399,0
F400,0
F367,0
F368,0
F369,0
F370,0
F371,0
F372,0
F373,0
F374,0
F375,0
F376,0
F377,0
F378,0
F379,0
F414,0
F415,0
F416,0
F383,0
F384,0
F385,0
F386,0
F387,0
F388,0
F389,0
F391,0
F392,0
F394,0
F395,0
F396,0
F397,0
F428,0
F429,0
F430,0
F431,0
F432,0
F401,0
F402,0
F403,0
F404,0
F405,0
F406,0
F407,0
F410,0
F411,0
F412,0
F413,0
F445,0
F446,0
F447,0
F448,0
F449,0
F450,0
F417,0
F418,0
F419,0
F420,0
F422,0
F423,0
F424,0
F425,0
F426,0
F427,0
F459,0
F460,0
F461,0
F462,0
F464,0
F465,0
F433,0
F434,0
F435,0
F436,0
F438,0
F439,0
F441,0
F442,0
F443,0
F444,0
F474,0
F475,0
F476,0
F477,0
F478,0
F479,0
F480,0
F481,0
F482,0
F452,0
F453,0
F454,0
F455,0
F456,0
F457,0
F458,0
F489,0
F490,0
F491,0
F493,0
F494,0
F496,0
F497,0
F498,0
F499,0
F500,0
F467,0
F468,0
F470,0
F471,0
F472,0
F473,0
F507,0
F508,0
F509,0
F510,0
F511,0
F512,0
F513,0
F514,0
F515,0
F516,0
F483,0
F484,0
F485,0
F486,0
F487,0
F488,0
F520,0
F521,0
F523,0
F524,0
F525,0
F526,0
F527,0
F529,0
F531,0
F532,0
F501,0
F502,0
F503,0
F504,0
F505,0
F506,0
F535,0
F537,0
F538,0
F540,0
F541,0
F543,0
F544,0
F545,0
F546,0
F547,0
F548,0
F549,0
F550,0
F517,0
F518,0
F519,0
F220,0
F221,0
F554,0
F555,0
F556,0
F557,0
F558,0
F559,0
F560,0
F561,0
F562,0
F563,0
F564,0
F565,0
F566,0
F533,0
F552,0
F553,0
F240,0
F241,0
F242,0
F243,0
F244,0
F245,0
F246,0
F247,0
F248,0
F249,0
F250,0
F251,0
F252,0
F219,0
F600,0
F567,0
F569,0
F570,0
F571,0
F572,0
F574,0
F575,0
F576,0
F577,0
F578,0
F579,0
F580,0
F581,0
F582,0
F551,0
F616,0
F583,0
F584,0
F585,0
F586,0
F587,0
F588,0
F589,0
F590,0
F591,0
F592,0
F593,0
F595,0
F596,0
F598,0
F599,0
F632,0
F601,0
F602,0
F603,0
F604,0
F605,0
F606,0
F607,0
F608,0
F609,0
F610,0
F611,0
F612,0
F613,0
F614,0
F615,0
F648,0
F617,0
F618,0
F619,0
F620,0
F621,0
F622,0
F623,0
F624,0
F625,0
F626,0
F627,0
F628,0
F629,0
F630,0
F631,0
F664,0
F633,0
F634,0
F635,0
F636,0
F637,0
F638,0
F639,0
F640,0
F641,0
F642,0
F643,0
F644,0
F645,0
F646,0
F647,0
F680,0
F649,0
F650,0
F651,0
F652,0
F653,0
F654,0
F655,0
F656,0
F657,0
F658,0
F659,0
F660,0
F661,0
F662,0
F663,0
F696,0
F665,0
F666,0
F667,0
F668,0
F669,0
F670,0
F671,0
F672,0
F673,0
F674,0
F675,0
F676,0
F677,0
F678,0
F679,0
F712,0
F681,0
F682,0
F683,0
F684,0
F685,0
F686,0
F687,0
F688,0
F689,0
F690,0
F691,0
F692,0
F693,0
F694,0
F695,0
F728,0
F697,0
F698,0
F699,0
F700,0
F701,0
F702,0
F703,0
F704,0
F705,0
F706,0
F707,0
F708,0
F709,0
F710,0
F711,0
F744,0
F713,0
F714,0
F715,0
F716,0
F717,0
F718,0
F719,0
F720,0
F721,0
F722,0
F723,0
F724,0
F725,0
F726,0
F727,0
F760,0
F729,0
F730,0
F731,0
F732,0
F733,0
F734,0
F735,0
F736,0
F737,0
F738,0
F739,0
F740,0
F741,0
F742,0
F743,0
F776,0
F745,0
F746,0
F747,0
F748,0
F749,0
F750,0
F751,0
F752,0
F753,0
F754,0
F755,0
F756,0
F757,0
F758,0
F759,0
F792,0
F761,0
F762,0
